target_experts_per_token,method,seed,actual_experts_per_token,validation_loss,delta_loss_vs_top2,threshold
1.1,entropy,,1.100234375,2.0590873432159422,0.033672573566436714,1.2189764046348386
1.1,margin,,1.10072265625,2.0574145841598512,0.031999814510345725,0.10210788252618562
1.1,max_probability,,1.09951171875,2.0576464128494263,0.03223164319992078,0.44174649653216463
1.1,linear_hidden_router,11.0,1.10384765625,2.0567234539985657,0.0313086843490602,0.051631648093462004
1.1,linear_hidden_router,22.0,1.09939453125,2.0564597916603087,0.03104502201080317,0.05240298211574555
1.1,linear_hidden_router,33.0,1.0975390625,2.0570240688323973,0.03160929918289179,0.05347489342093468
1.1,linear_router_only,11.0,1.09701171875,2.0586110401153563,0.03319627046585083,0.06186369657516481
1.1,linear_router_only,22.0,1.098828125,2.0572633934020996,0.03184862375259412,0.044598887860775004
1.1,linear_router_only,33.0,1.10037109375,2.0570793175697326,0.031664547920227104,0.04173977784812451
1.1,mlp_hidden_router,11.0,1.10984375,2.0521408534049987,0.026726083755493235,0.07018314152956011
1.1,mlp_hidden_router,22.0,1.0997265625,2.051920392513275,0.026505622863769673,0.07172396704554562
1.1,mlp_hidden_router,33.0,1.09822265625,2.0518701028823854,0.026455333232879852,0.07026150077581406
1.2,entropy,,1.19890625,2.0527161622047423,0.02730139255523678,1.1622772491557969
1.2,margin,,1.1965234375,2.0479345989227293,0.022519829273223824,0.19403814471023062
1.2,max_probability,,1.19740234375,2.049811985492706,0.024397215843200648,0.4911232366409657
1.2,linear_hidden_router,11.0,1.20634765625,2.0486040019989016,0.02318923234939607,0.03767696768045426
1.2,linear_hidden_router,22.0,1.197734375,2.046719579696655,0.02130481004714957,0.03872155249118806
1.2,linear_hidden_router,33.0,1.19462890625,2.0479321217536928,0.02251735210418726,0.039176735281944305
1.2,linear_router_only,11.0,1.19513671875,2.052040994167328,0.026626224517822372,0.03875984400510794
1.2,linear_router_only,22.0,1.19896484375,2.047845251560211,0.022430481910705513,0.03231110423803331
1.2,linear_router_only,33.0,1.1983203125,2.0471160674095152,0.02170129776000973,0.031383652985095975
1.2,mlp_hidden_router,11.0,1.21568359375,2.0442589926719665,0.018844223022461026,0.04658943712711336
1.2,mlp_hidden_router,22.0,1.20009765625,2.0439948534965513,0.018580083847045792,0.04837117344141007
1.2,mlp_hidden_router,33.0,1.20078125,2.045158848762512,0.019744079113006574,0.04630442112684253
1.3,entropy,,1.29888671875,2.0440046691894533,0.01858989953994783,1.1147927895650427
1.3,margin,,1.29859375,2.0407135343551634,0.015298764705657941,0.28107346151297774
1.3,max_probability,,1.295703125,2.0420267820358275,0.01661201238632204,0.5383674602088875
1.3,linear_hidden_router,11.0,1.311484375,2.042583327293396,0.01716855764389047,0.027943120710551717
1.3,linear_hidden_router,22.0,1.29931640625,2.0402398777008055,0.014825108051299996,0.02930608112365006
1.3,linear_hidden_router,33.0,1.2943359375,2.041831488609314,0.016416718959808563,0.029231134429574007
1.3,linear_router_only,11.0,1.2938671875,2.045599980354309,0.020185210704803502,0.023202008381485898
1.3,linear_router_only,22.0,1.296953125,2.0412292003631594,0.01581443071365385,0.022697420977056022
1.3,linear_router_only,33.0,1.2975390625,2.041229076385498,0.01581430673599238,0.02305193655192852
1.3,mlp_hidden_router,11.0,1.31734375,2.03951550245285,0.014100732803344673,0.03249705396592616
1.3,mlp_hidden_router,22.0,1.3016796875,2.0387888169288635,0.013374047279357981,0.033842800557613364
1.3,mlp_hidden_router,33.0,1.29927734375,2.038264310359955,0.012849540710449414,0.03190251886844634
1.4,entropy,,1.397421875,2.0386030578613283,0.01318828821182283,1.0675874470815285
1.4,margin,,1.3961328125,2.035374743938446,0.009959974288940465,0.3591697256174281
1.4,max_probability,,1.3965234375,2.0359784603118896,0.010563690662384051,0.5834449178207443
1.4,linear_hidden_router,11.0,1.4135546875,2.0388349676132203,0.013420197963714742,0.020084641501307485
1.4,linear_hidden_router,22.0,1.40173828125,2.035701322555542,0.010286552906036306,0.02198249548673629
1.4,linear_hidden_router,33.0,1.3923046875,2.037325372695923,0.011910603046417556,0.021077554300427435
1.4,linear_router_only,11.0,1.39375,2.041164638996124,0.015749869346618706,0.012442897632718084
1.4,linear_router_only,22.0,1.39455078125,2.0360412859916686,0.01062651634216305,0.015025487542152393
1.4,linear_router_only,33.0,1.395859375,2.0358324003219606,0.010417630672455047,0.01627351492643356
1.4,mlp_hidden_router,11.0,1.4169921875,2.0360303854942323,0.010615615844726811,0.021609480679035165
1.4,mlp_hidden_router,22.0,1.4015625,2.03536363363266,0.009948863983154421,0.022935492172837253
1.4,mlp_hidden_router,33.0,1.39908203125,2.033629503250122,0.00821473360061642,0.020957057178020478
1.5,entropy,,1.49380859375,2.0337620973587036,0.008347327709198105,1.0155043690084198
1.5,margin,,1.494453125,2.031418116092682,0.0060033464431765715,0.43150080477629066
1.5,max_probability,,1.4950390625,2.0316827297210693,0.006267960071563827,0.625441097183655
1.5,linear_hidden_router,11.0,1.51595703125,2.034075844287872,0.008661074638366628,0.013157039880752563
1.5,linear_hidden_router,22.0,1.49869140625,2.032775936126709,0.007361166477203529,0.01579402294009924
1.5,linear_hidden_router,33.0,1.493359375,2.033398404121399,0.007983634471893541,0.013729162514209747
1.5,linear_router_only,11.0,1.48873046875,2.0381243681907653,0.012709598541259748,0.004689430817961693
1.5,linear_router_only,22.0,1.496328125,2.032235331535339,0.006820561885833687,0.008953253272920847
1.5,linear_router_only,33.0,1.4971875,2.031931176185608,0.006516406536102526,0.010629843454807997
1.5,mlp_hidden_router,11.0,1.5216015625,2.0329009556770323,0.00748618602752682,0.012345443479716778
1.5,mlp_hidden_router,22.0,1.5037890625,2.032428822517395,0.007014052867889475,0.013726925477385521
1.5,mlp_hidden_router,33.0,1.4991015625,2.030703277587891,0.005288507938385312,0.011866096407175064
