base_seed,gate_seed,method,increment,budget,new_count,new_fraction,mean_true_delta,positive_fraction
601,11,MLP,1.0 → 1.1,1.1,7546,0.09825520833333333,0.052563590078305855,0.575801749271137
601,11,MLP,1.1 → 1.2,1.2,7716,0.10046875,0.01830141404677451,0.5491187143597719
601,11,MLP,1.2 → 1.3,1.3,7594,0.09888020833333333,0.009753725922418513,0.5318672636291809
601,11,margin,1.0 → 1.1,1.1,7712,0.10041666666666667,0.04558229718465528,0.5570539419087137
601,11,margin,1.1 → 1.2,1.2,7780,0.10130208333333333,0.021786079308674083,0.5519280205655527
601,11,margin,1.2 → 1.3,1.3,7619,0.09920572916666667,0.012059273189690377,0.5504659404121276
601,22,MLP,1.0 → 1.1,1.1,7909,0.10298177083333333,0.05550711560993916,0.580477936528006
601,22,MLP,1.1 → 1.2,1.2,7798,0.10153645833333333,0.01573086848898587,0.5388561169530649
601,22,MLP,1.2 → 1.3,1.3,7991,0.10404947916666667,0.010288958525034083,0.5182079839819798
601,22,margin,1.0 → 1.1,1.1,7712,0.10041666666666667,0.04558229718465528,0.5570539419087137
601,22,margin,1.1 → 1.2,1.2,7780,0.10130208333333333,0.021786079308674083,0.5519280205655527
601,22,margin,1.2 → 1.3,1.3,7619,0.09920572916666667,0.012059273189690377,0.5504659404121276
601,33,MLP,1.0 → 1.1,1.1,7605,0.0990234375,0.05138669688007222,0.5839579224194609
601,33,MLP,1.1 → 1.2,1.2,7971,0.1037890625,0.018009518398542864,0.5410864383389788
601,33,MLP,1.2 → 1.3,1.3,7483,0.09743489583333333,0.014048314199685955,0.5430976880930108
601,33,margin,1.0 → 1.1,1.1,7712,0.10041666666666667,0.04558229718465528,0.5570539419087137
601,33,margin,1.1 → 1.2,1.2,7780,0.10130208333333333,0.021786079308674083,0.5519280205655527
601,33,margin,1.2 → 1.3,1.3,7619,0.09920572916666667,0.012059273189690377,0.5504659404121276
602,11,MLP,1.0 → 1.1,1.1,8064,0.105,0.05829614661042652,0.5823412698412699
602,11,MLP,1.1 → 1.2,1.2,7931,0.10326822916666667,0.016704504373560275,0.5372588576472072
602,11,MLP,1.2 → 1.3,1.3,7590,0.098828125,0.008557776877060238,0.5226613965744401
602,11,margin,1.0 → 1.1,1.1,7749,0.1008984375,0.05035450911118855,0.5985288424312815
602,11,margin,1.1 → 1.2,1.2,7761,0.1010546875,0.028020217452155546,0.5592062878495039
602,11,margin,1.2 → 1.3,1.3,7761,0.1010546875,0.011909330402694249,0.5505733797191084
602,22,MLP,1.0 → 1.1,1.1,7998,0.104140625,0.05990396806316753,0.5808952238059515
602,22,MLP,1.1 → 1.2,1.2,7801,0.10157552083333334,0.016114520867685982,0.5308293808486092
602,22,MLP,1.2 → 1.3,1.3,7641,0.0994921875,0.009404289396376124,0.5208742311215809
602,22,margin,1.0 → 1.1,1.1,7749,0.1008984375,0.05035450911118855,0.5985288424312815
602,22,margin,1.1 → 1.2,1.2,7761,0.1010546875,0.028020217452155546,0.5592062878495039
602,22,margin,1.2 → 1.3,1.3,7761,0.1010546875,0.011909330402694249,0.5505733797191084
602,33,MLP,1.0 → 1.1,1.1,7810,0.10169270833333334,0.05497198813092846,0.5701664532650448
602,33,MLP,1.1 → 1.2,1.2,7458,0.097109375,0.017348416339427224,0.5278895146151783
602,33,MLP,1.2 → 1.3,1.3,7303,0.09509114583333333,0.006067086519745136,0.5151307681774613
602,33,margin,1.0 → 1.1,1.1,7749,0.1008984375,0.05035450911118855,0.5985288424312815
602,33,margin,1.1 → 1.2,1.2,7761,0.1010546875,0.028020217452155546,0.5592062878495039
602,33,margin,1.2 → 1.3,1.3,7761,0.1010546875,0.011909330402694249,0.5505733797191084
603,11,MLP,1.0 → 1.1,1.1,7560,0.0984375,0.05788273445512883,0.5970899470899471
603,11,MLP,1.1 → 1.2,1.2,7667,0.09983072916666667,0.021787421775172053,0.5534107212729882
603,11,MLP,1.2 → 1.3,1.3,7534,0.09809895833333333,0.013574243003251794,0.5384921688346164
603,11,margin,1.0 → 1.1,1.1,7616,0.09916666666666667,0.04825021288975948,0.5997899159663865
603,11,margin,1.1 → 1.2,1.2,7744,0.10083333333333333,0.022220583001444163,0.5541064049586777
603,11,margin,1.2 → 1.3,1.3,7758,0.101015625,0.013601952774311409,0.5358339778293375
603,22,MLP,1.0 → 1.1,1.1,7504,0.09770833333333333,0.050041502726865986,0.585954157782516
603,22,MLP,1.1 → 1.2,1.2,7690,0.10013020833333333,0.022984560506396547,0.5538361508452536
603,22,MLP,1.2 → 1.3,1.3,7723,0.10055989583333333,0.014132429678854077,0.5391687168198886
603,22,margin,1.0 → 1.1,1.1,7616,0.09916666666666667,0.04825021288975948,0.5997899159663865
603,22,margin,1.1 → 1.2,1.2,7744,0.10083333333333333,0.022220583001444163,0.5541064049586777
603,22,margin,1.2 → 1.3,1.3,7758,0.101015625,0.013601952774311409,0.5358339778293375
603,33,MLP,1.0 → 1.1,1.1,7549,0.09829427083333334,0.056068407271710245,0.5880249039607895
603,33,MLP,1.1 → 1.2,1.2,7738,0.10075520833333333,0.02166177271933912,0.5460067200827087
603,33,MLP,1.2 → 1.3,1.3,7719,0.1005078125,0.015113484752905587,0.5347842984842596
603,33,margin,1.0 → 1.1,1.1,7616,0.09916666666666667,0.04825021288975948,0.5997899159663865
603,33,margin,1.1 → 1.2,1.2,7744,0.10083333333333333,0.022220583001444163,0.5541064049586777
603,33,margin,1.2 → 1.3,1.3,7758,0.101015625,0.013601952774311409,0.5358339778293375
