base_seed,gate_seed,method,fraction_k2,captured_delta_per_decision,mean_selected_delta
601,11,MLP,0.01,0.0014169248193502426,0.14169248193502426
601,11,MLP,0.02,0.002088581547141075,0.10442907735705376
601,11,MLP,0.03,0.002615060110886892,0.08716867036289638
601,11,MLP,0.04,0.003129080235958099,0.07822700589895248
601,11,MLP,0.05,0.0036838119849562645,0.07367623969912529
601,11,MLP,0.06,0.004127074790497621,0.06878457984162702
601,11,MLP,0.07,0.004493955001235009,0.06419935716050011
601,11,MLP,0.08,0.0046853396917382875,0.0585667461467286
601,11,MLP,0.09,0.004997276949385802,0.055525299437620024
601,11,MLP,0.1,0.005227992497384548,0.05227992497384548
601,11,MLP,0.11,0.005451554345587889,0.0495595849598899
601,11,MLP,0.12,0.005674300938844681,0.04728584115703901
601,11,MLP,0.13,0.005801276204486688,0.044625201572974525
601,11,MLP,0.14,0.005997130361696084,0.042832661748187416
601,11,MLP,0.15,0.006251910167435805,0.04167578342670513
601,11,MLP,0.16,0.006425879361728827,0.04016174601080517
601,11,MLP,0.17,0.006583264408012231,0.038722118904445074
601,11,MLP,0.18,0.0067913861945271495,0.03772719419455226
601,11,MLP,0.19,0.006870729265113671,0.03616173297428248
601,11,MLP,0.2,0.007017149366438389,0.03508574683219194
601,11,MLP,0.21,0.007159683754046758,0.03409161834650574
601,11,MLP,0.22,0.007295445936421553,0.03316111789282524
601,11,MLP,0.23,0.007410660870373249,0.03222026465379674
601,11,MLP,0.24,0.007506136645873388,0.03127556935780578
601,11,MLP,0.25,0.007586014034847419,0.030344056139389675
601,11,MLP,0.26,0.007728678335746129,0.02972568590671588
601,11,MLP,0.27,0.007799405095477899,0.028886685538807032
601,11,MLP,0.28,0.007915068293611209,0.02826678655890913
601,11,MLP,0.29,0.007941436382631461,0.02738303390589935
601,11,MLP,0.3,0.007985789651672045,0.02661929883890682
601,11,MLP,0.31,0.00808395146081845,0.02607726277683371
601,11,margin,0.01,0.0006370385612050692,0.06370385612050693
601,11,margin,0.02,0.00130824310084184,0.06541215504209201
601,11,margin,0.03,0.001856427105764548,0.061880903525484934
601,11,margin,0.04,0.002303751359383265,0.05759378398458163
601,11,margin,0.05,0.0027257241308689117,0.054514482617378235
601,11,margin,0.06,0.0030871362363298735,0.05145227060549789
601,11,margin,0.07,0.0035509753103057542,0.050728218718653635
601,11,margin,0.08,0.0038380555187662443,0.04797569398457805
601,11,margin,0.09,0.004169991202652454,0.04633323558502727
601,11,margin,0.1,0.004580068464080492,0.045800684640804924
601,11,margin,0.11,0.004842100366950035,0.04401909424500032
601,11,margin,0.12,0.005052150612076123,0.042101255100634366
601,11,margin,0.13,0.005373820240298907,0.041337078771530054
601,11,margin,0.14,0.005623567303021749,0.04016460233163492
601,11,margin,0.15,0.005728039480745792,0.0381836153216975
601,11,margin,0.16,0.006064708816508452,0.03790443010317782
601,11,margin,0.17,0.006063442441324393,0.03566457681655153
601,11,margin,0.18,0.006267225866516431,0.0348154030053137
601,11,margin,0.19,0.006443386835356554,0.033912562291350284
601,11,margin,0.2,0.0067551077902317045,0.03377553895115852
601,11,margin,0.21,0.006901061683893203,0.03286016103434795
601,11,margin,0.22,0.007076122127473355,0.032164191488515244
601,11,margin,0.23,0.007191430553793907,0.031267089364321335
601,11,margin,0.24,0.0073153831188877425,0.030480762995365594
601,11,margin,0.25,0.007389150261878967,0.029556601047515868
601,11,margin,0.26,0.007571337893605232,0.029120530360020123
601,11,margin,0.27,0.007593157577017943,0.028122805840807195
601,11,margin,0.28,0.00770136130352815,0.027503582799858727
601,11,margin,0.29,0.007855233922600745,0.027085797389473233
601,11,margin,0.3,0.00799078846971194,0.026635961565706464
601,11,margin,0.31,0.008128382911284765,0.026220590036402466
601,22,MLP,0.01,0.0015611676375071207,0.15611676375071207
601,22,MLP,0.02,0.002203767771522204,0.1101883885761102
601,22,MLP,0.03,0.0028937574476003646,0.09645858158667882
601,22,MLP,0.04,0.0033881551772356033,0.08470387943089008
601,22,MLP,0.05,0.0038568383703629174,0.07713676740725835
601,22,MLP,0.06,0.004274993215998014,0.07124988693330023
601,22,MLP,0.07,0.0046562763551870985,0.06651823364552997
601,22,MLP,0.08,0.00503190889954567,0.06289886124432087
601,22,MLP,0.09,0.005322644586364428,0.059140495404049205
601,22,MLP,0.1,0.005693163598577181,0.05693163598577181
601,22,MLP,0.11,0.005907786538203557,0.05370715034730507
601,22,MLP,0.12,0.006159007512032986,0.05132506260027488
601,22,MLP,0.13,0.006375419832766056,0.04904169102127735
601,22,MLP,0.14,0.006467673182487488,0.04619336933088804
601,22,MLP,0.15,0.0065576827774445215,0.043714090557047065
601,22,MLP,0.16,0.006750245292981466,0.04218903308113416
601,22,MLP,0.17,0.006839924454689026,0.04023176825611681
601,22,MLP,0.18,0.006920430113871892,0.03844405300147279
601,22,MLP,0.19,0.007112590645750364,0.03743468760921244
601,22,MLP,0.2,0.0072600874056418735,0.03630043702820937
601,22,MLP,0.21,0.00734262632826964,0.03496271945012762
601,22,MLP,0.22,0.0076202189425627394,0.034637358829830635
601,22,MLP,0.23,0.007692201696336269,0.033444355201462043
601,22,MLP,0.24,0.007890889470775922,0.03287870612823301
601,22,MLP,0.25,0.007945421449840069,0.031781685799360276
601,22,MLP,0.26,0.008019944864014784,0.03084594178467225
601,22,MLP,0.27,0.008133325688540936,0.03012342847607754
601,22,MLP,0.28,0.008199726976454259,0.0292833774374186
601,22,MLP,0.29,0.008299753280977408,0.028618553943297487
601,22,MLP,0.3,0.008286684763928255,0.027622282546427516
601,22,MLP,0.31,0.008392383120954037,0.027072203615980762
601,22,margin,0.01,0.0006370385612050692,0.06370385612050693
601,22,margin,0.02,0.00130824310084184,0.06541215504209201
601,22,margin,0.03,0.001856427105764548,0.061880903525484934
601,22,margin,0.04,0.002303751359383265,0.05759378398458163
601,22,margin,0.05,0.0027257241308689117,0.054514482617378235
601,22,margin,0.06,0.0030871362363298735,0.05145227060549789
601,22,margin,0.07,0.0035509753103057542,0.050728218718653635
601,22,margin,0.08,0.0038380555187662443,0.04797569398457805
