base_seed,gate_seed,layer,sequence_id,position,byte,router_top1_probability,router_top2_probability,router_margin,mlp_predicted_delta,true_delta,mlp_k2,margin_k2,example_type
601,11,5,25,55,'e',0.3667433261871338,0.2206561416387558,0.146087184548378,0.053586505353450775,1.607421875,True,False,"MLP selects, margin misses"
601,11,3,58,88,'u',0.4784098267555237,0.17394670844078064,0.30446311831474304,0.08559483289718628,1.40673828125,True,False,"MLP selects, margin misses"
601,11,1,103,39,'e',0.2623773515224457,0.24780814349651337,0.014569208025932312,0.005360923707485199,3.15625,False,True,"margin selects, MLP misses"
601,11,1,170,51,'F',0.2841150164604187,0.24897688627243042,0.03513813018798828,0.012444980442523956,2.98095703125,False,True,"margin selects, MLP misses"
602,11,1,138,71,'n',0.4910506308078766,0.2606040835380554,0.23044654726982117,0.06030400097370148,1.84375,True,False,"MLP selects, margin misses"
602,11,1,162,69,'G',0.440731018781662,0.2869642376899719,0.15376678109169006,0.053267594426870346,1.623046875,True,False,"MLP selects, margin misses"
602,11,1,57,76,' ',0.36582762002944946,0.28644120693206787,0.07938641309738159,0.021957959979772568,3.80859375,False,True,"margin selects, MLP misses"
602,11,1,13,77,' ',0.40450358390808105,0.30089524388313293,0.10360834002494812,0.014390997588634491,2.21875,False,True,"margin selects, MLP misses"
603,11,1,38,83,'t',0.40960583090782166,0.2555593252182007,0.15404650568962097,0.10458781570196152,2.363525390625,True,False,"MLP selects, margin misses"
603,11,1,19,99,'t',0.37296926975250244,0.19808249175548553,0.1748867779970169,0.055544473230838776,2.28515625,True,False,"MLP selects, margin misses"
603,11,3,33,66,'l',0.3381880223751068,0.2846091091632843,0.05357891321182251,0.013731129467487335,2.19140625,False,True,"margin selects, MLP misses"
603,11,3,24,54,'e',0.1928638368844986,0.17698180675506592,0.015882030129432678,0.021739687770605087,1.91015625,False,True,"margin selects, MLP misses"
