base_seed,gate_seed,method,spearman,top5_overlap,top10_overlap,top20_overlap
601,,margin,0.05410520161355347,0.19010416666666666,0.25859375,0.33294270833333334
601,11.0,MLP,0.06029400667914832,0.22447916666666667,0.2688802083333333,0.32109375
601,22.0,MLP,0.057648364164906034,0.22994791666666667,0.27565104166666665,0.33125
601,33.0,MLP,0.0655905022158592,0.22135416666666666,0.2643229166666667,0.32233072916666666
602,,margin,0.07125748119639581,0.17890625,0.2546875,0.3453776041666667
602,11.0,MLP,0.07577192301327339,0.23619791666666667,0.277734375,0.33079427083333335
602,22.0,MLP,0.0654329812668711,0.23723958333333334,0.28072916666666664,0.33841145833333336
602,33.0,MLP,0.06407491306850056,0.23203125,0.26614583333333336,0.3274739583333333
603,,margin,0.06543416693619097,0.17473958333333334,0.255078125,0.343359375
603,11.0,MLP,0.07809519248011927,0.22265625,0.268359375,0.3337890625
603,22.0,MLP,0.07068072994608318,0.209375,0.26080729166666666,0.321875
603,33.0,MLP,0.06996364326285466,0.2234375,0.27109375,0.3314453125
